StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
C44	c	32.0	30.0	10.0	19.0	0.34	0.38	264.0	448.0	90.0
C89	c	63.0	58.0	10.0	9.0	0.38	0.09	877.0	1041.0	90.0
C91	c	60.0	60.0	10.0	15.0	0.41	0.48	733.0	1123.0	90.0
C9	c	38.0	70.0	10.0	20.0	0.16	0.30	760.0	1125.0	90.0
C64	c	48.0	30.0	10.0	4.0	0.27	0.07	204.0	384.0	90.0
C27	c	23.0	52.0	10.0	29.0	0.21	0.26	263.0	311.0	90.0
C20	c	30.0	50.0	10.0	22.0	0.19	0.04	10.0	168.0	90.0
C51	c	25.0	30.0	10.0	11.0	0.22	0.20	747.0	965.0	90.0
C45	c	30.0	30.0	10.0	8.0	0.14	0.39	393.0	503.0	90.0
C68	c	45.0	30.0	10.0	21.0	0.25	0.37	277.0	497.0	90.0
C66	c	47.0	35.0	10.0	24.0	0.34	0.31	957.0	1129.0	90.0
C1	c	45.0	68.0	10.0	27.0	0.37	0.31	19.0	206.0	90.0
C78	c	88.0	35.0	20.0	13.0	0.44	0.33	597.0	801.0	90.0
C84	c	70.0	58.0	20.0	7.0	0.49	0.29	599.0	761.0	90.0
C47	c	30.0	35.0	10.0	16.0	0.26	0.08	664.0	788.0	90.0
S0	f	40.0	50.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S15	f	39.0	26.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
S19	f	77.0	30.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0
