StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
C1	c	52.0	75.0	10.0	26.0	0.18	0.18	0.0	3272.0	90.0
C2	c	45.0	70.0	30.0	5.0	0.10	0.07	1084.0	1244.0	90.0
C3	c	62.0	69.0	10.0	16.0	0.39	0.40	0.0	3270.0	90.0
C4	c	60.0	66.0	10.0	21.0	0.31	0.22	0.0	3274.0	90.0
C5	c	42.0	65.0	10.0	29.0	0.11	0.40	0.0	3284.0	90.0
C6	c	16.0	42.0	20.0	28.0	0.45	0.13	2544.0	2704.0	90.0
C7	c	58.0	70.0	20.0	27.0	0.04	0.21	224.0	384.0	90.0
C8	c	34.0	60.0	20.0	11.0	0.37	0.28	12.0	172.0	90.0
C9	c	28.0	70.0	10.0	10.0	0.48	0.33	0.0	3276.0	90.0
C10	c	35.0	66.0	10.0	4.0	0.43	0.24	28.0	188.0	90.0
C11	c	35.0	69.0	10.0	2.0	0.04	0.08	0.0	3280.0	90.0
C12	c	25.0	85.0	20.0	29.0	0.03	0.38	0.0	3261.0	90.0
C13	c	22.0	75.0	30.0	27.0	0.13	0.05	0.0	3269.0	90.0
C14	c	22.0	85.0	10.0	19.0	0.17	0.10	601.0	761.0	90.0
C15	c	20.0	80.0	40.0	0.0	0.05	0.00	411.0	571.0	90.0
C16	c	20.0	85.0	40.0	1.0	0.48	0.41	693.0	853.0	90.0
C17	c	18.0	75.0	20.0	16.0	0.21	0.27	0.0	3266.0	90.0
C18	c	15.0	75.0	20.0	14.0	0.15	0.29	885.0	1045.0	90.0
C19	c	15.0	80.0	10.0	0.0	0.39	0.00	0.0	3260.0	90.0
C20	c	30.0	50.0	10.0	9.0	0.07	0.28	3020.0	3180.0	90.0
C21	c	30.0	56.0	20.0	22.0	0.44	0.27	3128.0	3288.0	90.0
C22	c	28.0	52.0	20.0	28.0	0.45	0.39	0.0	3287.0	90.0
C23	c	14.0	66.0	10.0	2.0	0.23	0.32	0.0	3269.0	90.0
C24	c	25.0	50.0	10.0	24.0	0.47	0.24	0.0	3285.0	90.0
C25	c	22.0	66.0	40.0	6.0	0.01	0.37	1078.0	1238.0	90.0
C26	c	8.0	62.0	10.0	9.0	0.38	0.37	0.0	3265.0	90.0
C27	c	23.0	52.0	10.0	27.0	0.35	0.33	2832.0	2992.0	90.0
C28	c	4.0	55.0	20.0	15.0	0.39	0.34	1593.0	1753.0	90.0
C29	c	20.0	50.0	10.0	21.0	0.07	0.26	2642.0	2802.0	90.0
C30	c	20.0	55.0	10.0	6.0	0.39	0.07	0.0	3279.0	90.0
C31	c	10.0	35.0	20.0	1.0	0.35	0.43	2260.0	2420.0	90.0
C32	c	10.0	40.0	30.0	20.0	0.08	0.11	2447.0	2607.0	90.0
C33	c	8.0	40.0	40.0	7.0	0.21	0.20	2355.0	2515.0	90.0
C34	c	8.0	45.0	20.0	12.0	0.10	0.05	0.0	3267.0	90.0
C35	c	5.0	35.0	10.0	9.0	0.21	0.03	2165.0	2325.0	90.0
C36	c	5.0	45.0	10.0	11.0	0.28	0.30	1787.0	1947.0	90.0
C37	c	2.0	40.0	20.0	19.0	0.37	0.34	0.0	3260.0	90.0
C38	c	0.0	40.0	30.0	13.0	0.02	0.23	1977.0	2137.0	90.0
C39	c	0.0	45.0	20.0	28.0	0.22	0.36	1882.0	2042.0	90.0
C40	c	36.0	18.0	10.0	7.0	0.15	0.03	968.0	1128.0	90.0
C41	c	35.0	32.0	10.0	10.0	0.24	0.01	0.0	3281.0	90.0
C42	c	33.0	32.0	20.0	22.0	0.31	0.07	0.0	3280.0	90.0
C43	c	33.0	35.0	10.0	1.0	0.48	0.36	0.0	3283.0	90.0
C44	c	32.0	20.0	10.0	23.0	0.13	0.44	874.0	1034.0	90.0
C45	c	30.0	30.0	10.0	19.0	0.30	0.03	0.0	3277.0	90.0
C46	c	34.0	25.0	30.0	8.0	0.15	0.01	0.0	3274.0	90.0
C47	c	30.0	35.0	10.0	9.0	0.04	0.40	0.0	3281.0	90.0
C48	c	36.0	40.0	10.0	20.0	0.20	0.02	0.0	3289.0	90.0
C49	c	48.0	20.0	10.0	16.0	0.17	0.50	0.0	3268.0	90.0
C50	c	26.0	32.0	10.0	20.0	0.42	0.17	0.0	3277.0	90.0
C51	c	25.0	30.0	10.0	15.0	0.15	0.21	0.0	3275.0	90.0
C52	c	25.0	35.0	10.0	13.0	0.07	0.49	402.0	562.0	90.0
C53	c	44.0	5.0	20.0	19.0	0.39	0.50	1671.0	1831.0	90.0
C54	c	42.0	10.0	40.0	7.0	0.33	0.01	0.0	3259.0	90.0
C55	c	42.0	15.0	10.0	12.0	0.31	0.35	1861.0	2021.0	90.0
C56	c	40.0	5.0	30.0	29.0	0.21	0.23	0.0	3255.0	90.0
C57	c	38.0	15.0	40.0	24.0	0.19	0.48	0.0	3264.0	90.0
C58	c	38.0	5.0	30.0	17.0	0.17	0.50	0.0	3254.0	90.0
C59	c	38.0	10.0	10.0	13.0	0.24	0.46	0.0	3259.0	90.0
C60	c	35.0	5.0	20.0	25.0	0.15	0.50	0.0	3254.0	90.0
C61	c	50.0	30.0	10.0	7.0	0.27	0.29	0.0	3277.0	90.0
C62	c	50.0	35.0	20.0	27.0	0.20	0.20	0.0	3281.0	90.0
C63	c	50.0	40.0	50.0	3.0	0.37	0.43	1910.0	2070.0	90.0
C64	c	48.0	30.0	10.0	27.0	0.43	0.29	0.0	3278.0	90.0
C65	c	44.0	25.0	10.0	10.0	0.30	0.23	2056.0	2216.0	90.0
C66	c	47.0	35.0	10.0	3.0	0.35	0.38	2713.0	2873.0	90.0
C67	c	47.0	40.0	10.0	0.0	0.16	0.00	0.0	3287.0	90.0
C68	c	42.0	30.0	10.0	9.0	0.33	0.36	0.0	3279.0	90.0
C69	c	45.0	35.0	10.0	14.0	0.09	0.28	2805.0	2965.0	90.0
C70	c	95.0	30.0	30.0	16.0	0.06	0.22	1035.0	1195.0	90.0
C71	c	95.0	35.0	20.0	12.0	0.06	0.47	940.0	1100.0	90.0
C72	c	53.0	30.0	10.0	7.0	0.39	0.04	2432.0	2592.0	90.0
C73	c	92.0	30.0	10.0	13.0	0.45	0.02	0.0	3244.0	90.0
C74	c	53.0	35.0	50.0	29.0	0.31	0.20	0.0	3280.0	90.0
C75	c	45.0	65.0	20.0	10.0	0.30	0.12	1179.0	1339.0	90.0
C76	c	90.0	35.0	10.0	6.0	0.34	0.14	845.0	1005.0	90.0
C77	c	72.0	45.0	10.0	27.0	0.47	0.17	0.0	3267.0	90.0
C78	c	78.0	40.0	20.0	22.0	0.30	0.48	1516.0	1676.0	90.0
C79	c	87.0	30.0	10.0	26.0	0.24	0.41	1322.0	1482.0	90.0
C80	c	85.0	25.0	10.0	23.0	0.12	0.35	1227.0	1387.0	90.0
C81	c	85.0	35.0	30.0	17.0	0.22	0.37	1417.0	1577.0	90.0
C82	c	75.0	55.0	20.0	21.0	0.48	0.25	508.0	668.0	90.0
C83	c	72.0	55.0	10.0	1.0	0.49	0.18	415.0	575.0	90.0
C84	c	70.0	58.0	20.0	21.0	0.43	0.29	321.0	481.0	90.0
C85	c	86.0	46.0	30.0	12.0	0.16	0.08	0.0	3253.0	90.0
C86	c	66.0	55.0	10.0	21.0	0.03	0.33	226.0	386.0	90.0
C87	c	64.0	46.0	20.0	2.0	0.10	0.44	0.0	3275.0	90.0
C88	c	65.0	60.0	30.0	17.0	0.31	0.46	0.0	3273.0	90.0
C89	c	56.0	64.0	10.0	6.0	0.43	0.28	0.0	3278.0	90.0
C90	c	60.0	55.0	10.0	0.0	0.09	0.00	0.0	3279.0	90.0
C91	c	60.0	60.0	10.0	20.0	0.13	0.19	0.0	3277.0	90.0
C92	c	67.0	85.0	20.0	23.0	0.10	0.15	603.0	763.0	90.0
C93	c	42.0	58.0	40.0	6.0	0.23	0.11	1369.0	1529.0	90.0
C94	c	65.0	82.0	10.0	7.0	0.36	0.30	509.0	669.0	90.0
C95	c	62.0	80.0	30.0	18.0	0.30	0.10	0.0	3262.0	90.0
C96	c	62.0	40.0	10.0	16.0	0.46	0.25	1808.0	1968.0	90.0
C97	c	60.0	85.0	30.0	20.0	0.47	0.30	700.0	860.0	90.0
C98	c	58.0	75.0	20.0	24.0	0.39	0.35	319.0	479.0	90.0
C99	c	55.0	80.0	10.0	29.0	0.38	0.17	0.0	3266.0	90.0
C100	c	55.0	85.0	20.0	7.0	0.07	0.31	0.0	3261.0	90.0
S0	f	40.0	50.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S1	f	73.0	52.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S2	f	90.0	55.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S3	f	55.0	79.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S4	f	69.0	89.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S5	f	32.0	80.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S6	f	39.0	96.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S7	f	23.0	80.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S8	f	4.0	83.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S9	f	18.0	58.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S10	f	1.0	56.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S11	f	13.0	31.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S12	f	-5.0	38.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S13	f	26.0	37.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S14	f	28.0	13.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S15	f	39.0	31.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S16	f	48.0	11.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S17	f	59.0	17.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S18	f	73.0	23.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S19	f	74.0	32.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
S20	f	90.0	44.0	0.0	0.0	0.0	0.0	0.0	3390.0	0.0
