StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	35.0	35.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0
C31	c	31.0	52.0	27.0	15.0	0.27	0.03	25.0	35.0	10.0
C23	c	55.0	5.0	29.0	26.0	0.32	0.20	97.0	107.0	10.0
C67	c	67.0	5.0	25.0	6.0	0.29	0.31	0.0	176.0	10.0
C60	c	17.0	34.0	3.0	23.0	0.25	0.16	0.0	201.0	10.0
C88	c	26.0	52.0	9.0	8.0	0.19	0.05	166.0	176.0	10.0
C77	c	53.0	43.0	14.0	12.0	0.10	0.18	150.0	160.0	10.0
C20	c	45.0	65.0	9.0	14.0	0.44	0.02	77.0	87.0	10.0
C99	c	20.0	26.0	9.0	4.0	0.12	0.49	138.0	148.0	10.0
C12	c	50.0	35.0	19.0	4.0	0.31	0.47	177.0	187.0	10.0
C21	c	45.0	20.0	11.0	26.0	0.05	0.40	0.0	201.0	10.0
S0	f	35.0	35.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0
S5	f	28.0	62.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0
S17	f	51.0	7.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0
S18	f	63.0	12.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0
