StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	35.0	35.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0
C1	c	41.0	49.0	10.0	19.0	0.25	0.19	16.0	102.0	10.0
C2	c	35.0	17.0	7.0	15.0	0.14	0.40	18.0	166.0	10.0
C3	c	55.0	45.0	13.0	12.0	0.48	0.01	737.0	945.0	10.0
C4	c	55.0	20.0	19.0	18.0	0.12	0.30	0.0	965.0	10.0
C5	c	15.0	30.0	26.0	26.0	0.50	0.06	21.0	182.0	10.0
C6	c	25.0	30.0	3.0	10.0	0.17	0.45	556.0	708.0	10.0
C7	c	20.0	50.0	5.0	13.0	0.48	0.30	32.0	110.0	10.0
C8	c	10.0	43.0	9.0	9.0	0.40	0.15	0.0	963.0	10.0
C9	c	55.0	60.0	16.0	29.0	0.48	0.20	558.0	700.0	10.0
C10	c	30.0	60.0	16.0	3.0	0.27	0.49	585.0	691.0	10.0
C11	c	20.0	65.0	12.0	9.0	0.39	0.40	0.0	956.0	10.0
C12	c	50.0	35.0	19.0	13.0	0.08	0.22	850.0	934.0	10.0
C13	c	30.0	25.0	23.0	24.0	0.32	0.37	12.0	133.0	10.0
C14	c	15.0	10.0	20.0	5.0	0.23	0.48	174.0	304.0	10.0
C15	c	30.0	5.0	8.0	4.0	0.37	0.14	861.0	959.0	10.0
C16	c	10.0	20.0	19.0	28.0	0.12	0.36	527.0	665.0	10.0
C17	c	5.0	30.0	2.0	10.0	0.17	0.20	0.0	959.0	10.0
C18	c	20.0	40.0	12.0	29.0	0.39	0.13	403.0	513.0	10.0
C19	c	15.0	60.0	17.0	8.0	0.03	0.37	0.0	957.0	10.0
C20	c	45.0	65.0	9.0	19.0	0.25	0.05	679.0	769.0	10.0
C21	c	45.0	20.0	11.0	10.0	0.06	0.21	67.0	213.0	10.0
C22	c	45.0	10.0	18.0	1.0	0.28	0.45	765.0	885.0	10.0
C23	c	55.0	5.0	29.0	11.0	0.34	0.22	94.0	274.0	10.0
C24	c	65.0	35.0	3.0	25.0	0.41	0.41	0.0	960.0	10.0
C25	c	65.0	20.0	6.0	12.0	0.33	0.12	69.0	183.0	10.0
C26	c	45.0	30.0	17.0	3.0	0.05	0.10	0.0	978.0	10.0
C27	c	35.0	40.0	16.0	15.0	0.43	0.36	299.0	477.0	10.0
C28	c	41.0	37.0	16.0	5.0	0.07	0.35	357.0	495.0	10.0
C29	c	64.0	42.0	9.0	0.0	0.40	0.00	847.0	960.0	10.0
C30	c	40.0	60.0	21.0	2.0	0.04	0.01	520.0	628.0	10.0
C31	c	31.0	52.0	27.0	11.0	0.25	0.51	591.0	809.0	10.0
C32	c	35.0	69.0	23.0	28.0	0.15	0.03	0.0	956.0	10.0
C33	c	53.0	52.0	11.0	24.0	0.14	0.21	249.0	409.0	10.0
C34	c	65.0	55.0	14.0	24.0	0.33	0.14	63.0	191.0	10.0
C35	c	63.0	65.0	8.0	29.0	0.09	0.31	0.0	948.0	10.0
C36	c	2.0	60.0	5.0	16.0	0.35	0.21	823.0	948.0	10.0
C37	c	20.0	20.0	8.0	19.0	0.32	0.43	0.0	968.0	10.0
C38	c	5.0	5.0	16.0	16.0	0.45	0.12	0.0	947.0	10.0
C39	c	60.0	12.0	31.0	18.0	0.31	0.19	284.0	440.0	10.0
C40	c	40.0	25.0	9.0	17.0	0.45	0.47	733.0	829.0	10.0
C41	c	42.0	7.0	5.0	19.0	0.15	0.39	782.0	912.0	10.0
C42	c	24.0	12.0	5.0	25.0	0.11	0.16	0.0	964.0	10.0
C43	c	23.0	3.0	7.0	21.0	0.38	0.15	381.0	559.0	10.0
C44	c	11.0	14.0	18.0	4.0	0.28	0.11	578.0	714.0	10.0
C45	c	6.0	38.0	16.0	18.0	0.25	0.14	779.0	960.0	10.0
C46	c	2.0	48.0	1.0	2.0	0.25	0.07	58.0	194.0	10.0
C47	c	8.0	56.0	27.0	10.0	0.24	0.28	619.0	763.0	10.0
C48	c	13.0	52.0	36.0	21.0	0.12	0.04	418.0	558.0	10.0
C49	c	6.0	68.0	30.0	22.0	0.48	0.04	0.0	946.0	10.0
C50	c	47.0	47.0	13.0	22.0	0.38	0.28	507.0	599.0	10.0
C51	c	49.0	58.0	10.0	18.0	0.35	0.35	776.0	906.0	10.0
C52	c	27.0	43.0	9.0	1.0	0.28	0.28	233.0	391.0	10.0
C53	c	37.0	31.0	14.0	15.0	0.40	0.42	0.0	985.0	10.0
C54	c	57.0	29.0	18.0	19.0	0.46	0.16	23.0	144.0	10.0
C55	c	63.0	23.0	2.0	3.0	0.39	0.02	420.0	590.0	10.0
C56	c	53.0	12.0	6.0	0.0	0.09	0.00	0.0	960.0	10.0
