StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
C6	c	18.0	75.0	20.0	11.0	0.43	0.29	53.0	187.0	10.0
C10	c	10.0	40.0	30.0	8.0	0.16	0.22	54.0	154.0	10.0
C41	c	58.0	75.0	20.0	22.0	0.47	0.50	66.0	184.0	10.0
C54	c	55.0	60.0	16.0	8.0	0.31	0.08	100.0	211.0	10.0
C45	c	20.0	82.0	10.0	15.0	0.29	0.06	38.0	192.0	10.0
C46	c	18.0	80.0	10.0	3.0	0.13	0.50	70.0	192.0	10.0
C19	c	42.0	10.0	40.0	29.0	0.16	0.19	64.0	182.0	10.0
C25	c	35.0	5.0	20.0	26.0	0.02	0.21	79.0	184.0	10.0
C23	c	38.0	5.0	30.0	12.0	0.03	0.28	55.0	184.0	10.0
C83	c	37.0	31.0	14.0	5.0	0.45	0.26	74.0	192.0	10.0
C53	c	20.0	50.0	5.0	9.0	0.17	0.25	20.0	136.0	10.0
C40	c	60.0	85.0	30.0	22.0	0.08	0.42	96.0	189.0	10.0
C33	c	85.0	25.0	10.0	24.0	0.30	0.10	68.0	178.0	10.0
C63	c	65.0	20.0	6.0	29.0	0.50	0.37	60.0	190.0	10.0
C66	c	41.0	37.0	16.0	26.0	0.38	0.43	14.0	146.0	10.0
S0	f	40.0	50.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
S5	f	31.0	84.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
S15	f	39.0	26.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
S17	f	61.0	14.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
S19	f	77.0	30.0	0.0	0.0	0.0	0.0	0.0	240.0	0.0
