StringID	Type	x	y	ddmand	pdemand	dvol	pvol	ReadyTime	DueDate	ServiceTime
D0	d	40.0	50.0	0.0	0.0	0.0	0.0	0.0	960.0	0.0
C1	c	25.0	85.0	20.0	3.0	0.09	0.08	300.0	420.0	10.0
C2	c	22.0	75.0	30.0	20.0	0.35	0.21	0.0	919.0	10.0
C3	c	22.0	85.0	10.0	22.0	0.22	0.47	0.0	910.0	10.0
C4	c	20.0	80.0	40.0	16.0	0.49	0.09	712.0	832.0	10.0
C5	c	20.0	85.0	20.0	10.0	0.41	0.26	0.0	909.0	10.0
C6	c	18.0	75.0	20.0	10.0	0.49	0.23	0.0	916.0	10.0
C7	c	15.0	75.0	20.0	13.0	0.33	0.27	129.0	249.0	10.0
C8	c	15.0	80.0	10.0	10.0	0.48	0.51	0.0	910.0	10.0
C9	c	10.0	35.0	20.0	26.0	0.43	0.40	0.0	916.0	10.0
C10	c	10.0	40.0	30.0	7.0	0.14	0.33	0.0	918.0	10.0
C11	c	8.0	40.0	40.0	3.0	0.18	0.44	0.0	916.0	10.0
C12	c	8.0	45.0	20.0	9.0	0.06	0.47	797.0	917.0	10.0
C13	c	5.0	35.0	10.0	5.0	0.20	0.35	0.0	911.0	10.0
C14	c	5.0	45.0	10.0	27.0	0.08	0.33	0.0	914.0	10.0
C15	c	2.0	40.0	20.0	17.0	0.27	0.37	0.0	910.0	10.0
C16	c	0.0	40.0	20.0	23.0	0.24	0.50	180.0	300.0	10.0
C17	c	0.0	45.0	20.0	13.0	0.41	0.30	0.0	909.0	10.0
C18	c	44.0	5.0	20.0	28.0	0.41	0.36	0.0	904.0	10.0
C19	c	42.0	10.0	40.0	15.0	0.16	0.19	0.0	909.0	10.0
C20	c	42.0	15.0	10.0	22.0	0.23	0.11	208.0	328.0	10.0
C21	c	40.0	5.0	10.0	18.0	0.13	0.31	0.0	905.0	10.0
C22	c	40.0	15.0	40.0	21.0	0.46	0.03	0.0	915.0	10.0
C23	c	38.0	5.0	30.0	21.0	0.21	0.40	0.0	904.0	10.0
C24	c	38.0	15.0	10.0	15.0	0.48	0.44	0.0	914.0	10.0
C25	c	35.0	5.0	20.0	11.0	0.19	0.27	0.0	904.0	10.0
C26	c	95.0	30.0	30.0	25.0	0.34	0.10	0.0	891.0	10.0
C27	c	95.0	35.0	20.0	16.0	0.26	0.48	0.0	892.0	10.0
C28	c	92.0	30.0	10.0	11.0	0.02	0.28	0.0	894.0	10.0
C29	c	90.0	35.0	10.0	27.0	0.43	0.43	501.0	621.0	10.0
C30	c	88.0	30.0	10.0	21.0	0.29	0.18	0.0	898.0	10.0
C31	c	88.0	35.0	20.0	17.0	0.42	0.24	0.0	899.0	10.0
C32	c	87.0	30.0	10.0	16.0	0.47	0.40	0.0	898.0	10.0
C33	c	85.0	25.0	10.0	2.0	0.11	0.06	0.0	898.0	10.0
C34	c	85.0	35.0	30.0	9.0	0.35	0.19	0.0	902.0	10.0
C35	c	67.0	85.0	20.0	8.0	0.22	0.04	0.0	905.0	10.0
C36	c	65.0	85.0	40.0	19.0	0.10	0.46	517.0	637.0	10.0
C37	c	65.0	82.0	10.0	20.0	0.08	0.07	0.0	909.0	10.0
C38	c	62.0	80.0	30.0	17.0	0.20	0.49	105.0	225.0	10.0
C39	c	60.0	80.0	10.0	27.0	0.38	0.22	751.0	871.0	10.0
C40	c	60.0	85.0	30.0	28.0	0.13	0.32	0.0	909.0	10.0
C41	c	58.0	75.0	20.0	11.0	0.42	0.02	257.0	377.0	10.0
C42	c	55.0	80.0	10.0	18.0	0.44	0.24	520.0	640.0	10.0
C43	c	55.0	85.0	20.0	5.0	0.05	0.07	0.0	911.0	10.0
C44	c	55.0	82.0	10.0	24.0	0.11	0.51	0.0	914.0	10.0
C45	c	20.0	82.0	10.0	15.0	0.24	0.16	0.0	912.0	10.0
C46	c	18.0	80.0	10.0	21.0	0.04	0.30	0.0	912.0	10.0
C47	c	2.0	45.0	10.0	13.0	0.06	0.15	0.0	911.0	10.0
C48	c	42.0	5.0	10.0	24.0	0.17	0.14	0.0	904.0	10.0
